MaxTemp,MinTemp,Humidity,Radiation,WindSpeed,Rainfall
36.22,26.83,87.3,42.7,9.79,24.08
34.3,25.58,73.1,37.7,8.2,24.84
29.59,23.62,83.7,50.69,21.07,23.64
28.52,23.11,90.1,68.16,44.59,22.27
30.71,23.48,91.8,69.74,38.05,20.48
35.36,25.92,90.2,64.53,17.72,19.57
29.99,23.76,93.1,72.9,46.59,19.11
32.1,24.75,91.3,71.7,41.78,21.57
32.56,24.63,93.3,66.49,32.25,15.89
30.23,23.61,93.9,73.1,45.33,20.88
28.91,21.58,94,76.5,45.79,16.39
26.86,21.71,86.2,67.26,39.93,21.35
29.04,21.51,84.6,51.61,19.19,22.77
34.23,24.22,63.99,34.2,10.53,23.14
28.26,22.15,83.1,59.37,27.36,21.39
26.99,21.42,89.3,59.09,26.06,22.49
27.52,20.56,88.9,60.54,22.73,22.79
28.72,20.96,97,72.1,28.53,19.17
29.9,21.92,93.8,65.98,32.65,20.88
31.36,22.72,92.6,63.58,30.92,20.74
32.3,23.62,82.5,43.66,19.73,21.28
34.75,24.43,56.92,27.2,9.66,21.72
34.96,24.65,58.8,31.9,10.33,21.68
34.23,24.96,51.59,24.89,9.66,14.79
30.31,22.86,59.4,34.72,16.39,21.27
28.72,23.27,67.45,41.92,22.93,19.68
24.54,19.53,46.59,33.66,17.6,20.99
25.19,18.05,59.14,40.73,25,21.14
25.07,18.56,86.4,55.88,22.27,19.33
26.79,19.38,89.4,66.35,22.26,16.98
29.1,20.9,94.1,65.3,29.66,19.45
26.6,20.17,89.6,74.1,43.27,16.67
27.39,20.29,86.4,64.5,36.33,14.11
28.44,19.94,92.4,67.87,29.06,15.56
27.32,19.72,96.1,68.8,29.99,15.12
22.88,18.55,90.9,49.37,27.2,17.38
21.3,16.04,83.7,62.35,34.62,8.49
23.41,17.63,85.7,45.9,24.74,14.17
28.79,20.8,73.8,42.64,18.26,19.09
29.51,19.99,65.1,38.54,13.93,19.36
27.46,19.72,88.2,50.43,25.8,18.64
27.99,19.25,94.7,60.97,21.2,17.06
25.39,18.19,96.2,72.1,37.01,17.81
24.68,17.8,92.4,74.8,44.01,15.13
26.59,18.22,93.8,74.7,40.93,17.06
28.59,18.65,91.6,60,14.66,17.13
28.12,19.86,84.2,44.89,20.33,17.24
27.4,20.66,58.32,37.92,17.87,17.71
19.12,14.42,92.6,71.8,52.81,5064
19.03,12.44,90.7,60.95,30.16,13.11
20.3,13.12,89,54.31,24.15,15.28
20.23,14.28,78.3,53.18,31.56,13.2
23.68,15.9,91.8,65.93,31.41,16.96
22.74,15.31,91.9,68.61,34.07,16.15
22.88,15.17,92.9,69.17,29.27,16.21
25.21,16.25,91.9,60.41,27.47,15.43
24.41,16.01,90.2,63.17,23.2,14.78
17.71,14.29,94,81.2,53.44,6085
19.52,15.92,95.2,80.8,68.72,5666
17.78,14.78,94.6,87,72.7,2033
17.51,14.62,92.1,83,66.72,7.73
19.04,14.37,94.5,78.6,48.83,12.33
21.35,14.54,94.9,77.1,42.69,13.29
21.5,15.41,95,78.2,47.49,14.55
23.68,15.72,95.3,73.9,32.34,14.8
23.94,15.64,95.8,71.1,33.28,13.31
21.5,14.84,95.4,74,37.62,13.49
18.3,13.63,88.5,68.65,48.06,9.38
18.36,11.58,94,74,41.23,14.81
20.36,12.62,95.8,71.5,31.88,14.62
19.31,15.01,83.6,52.31,25.62,14.8
16.78,10.55,90.3,61.86,31.36,13.04
17.51,11.72,91.4,66.22,32.96,10.5
20.18,14.74,83.6,54.18,20.75,7.24
15.58,11.35,61.16,41.74,28.76,13.95
16.51,10.24,76.2,50.52,25.96,14.14
15.38,8.52,94.6,73.2,44.5,10.74
14.72,10.09,94.2,70.6,51.33,10.75
15.73,13.12,89.2,77.7,71.8,4206
18.9,12.82,96.4,83.7,55.91,10.04
19.78,14.16,96.8,67.22,37.5,4602
16.25,11.12,89.4,62.28,30.43,13.03
11.41,9.43,91,77.7,60.76,2.24
18.05,10.45,93.9,59.14,17.88,12.25
15.71,11.9,75,47.67,26.89,12.83
16.18,7.89,87.5,60.81,20.88,12.08
17.38,8.36,89.1,63.55,25.15,12.66
18.52,12.07,88,56.01,30.83,9.83
17.78,10.35,88.6,62.32,35.63,12.24
17.51,9.9,92.9,73.1,39.57,11.19
19.58,14.51,92.1,61.16,29.91,5835
14.2,10.45,80.2,61.22,29.44,6.748
22.65,18.63,72.2,50.89,29.09,9.72
24.41,17.51,79,51.57,27.6,11.66
24.17,14.65,87.5,66.44,27.55,11.97
20.85,13.29,87.8,68.4,41.63,9.44
17.78,12.68,85.5,67.19,46.31,7.18
17.98,10.64,89.5,70.6,34.7,10.82
20.83,12.4,93.7,72.1,30.88,10.6
19.58,12.62,94.9,62.11,31.16,9.98
16.85,10.21,91.8,59.91,32.63,10.26
17.85,9.79,93.9,74,34.63,9.35
14.94,9.13,92.6,73.2,41.78,4102
17.85,12.3,94.3,76.3,48.21,6.236
21.52,14.81,95.6,60.43,26.96,5.701
18.18,14.21,94.7,75.2,45.84,5182
16.65,9.53,93.9,75.4,36.04,9.98
18.65,9.18,94.1,72.9,29.49,10.62
17.78,9.16,92.1,65.15,26.62,9.28
20.16,9.94,88.4,60.62,24.16,10.89
20.65,10.59,82.8,55.57,13.08,10.8
19.45,10.12,91.9,60.2,18.82,11.41
17.71,11.09,89,58.91,38.3,8.24
13.53,9.01,92.4,69.68,40.05,8.89
14.6,6683,96.7,78.4,41.65,10.53
16.71,6.833,94.7,71.5,26.36,10.69
13.75,7.29,95.9,80.7,49.42,8.89
11.63,9.29,95,83.2,71.2,3.21
12.83,7.64,96.5,84.9,56.64,5468
14.43,10.05,95.1,83.1,57.68,5.764
14.75,10.45,93.9,74.6,50.02,7.11
13.83,11.3,94.7,82.7,62.29,4.358
13.16,10.45,66.72,55.07,36.45,10.72
16.43,11.74,67.15,50.18,34.84,8.23
16.8,13.86,51.03,41.47,29.84,8.8
15.94,12.97,75.6,46.94,28.7,10.51
13.22,8.58,94.6,71.1,45.15,9.12
17.9,9.6,96.7,73,38.75,10.4
16.72,13.23,86,54.07,29.09,10.4
15.81,9.31,88.1,67.05,34.17,10.69
19.65,12.95,90.3,64.24,29.76,7.28
20.51,13.52,89.6,56.65,18.85,6.338
17.41,14.03,73.3,45.34,18.52,6016
14.22,6.842,90,61.25,27.71,10.7
12.88,4645,95.4,71,34.33,11.74
12.9,5227,96,77.2,49.41,9.77
18.44,12.24,93,65.58,32.18,10.18
17.32,11.69,77.7,54.64,31.45,9.09
13.95,8.74,94.3,82.4,54.14,6.927
16.47,9.07,95.1,74.9,39.16,9.67
15.08,9.41,88.5,75.8,38.22,7.63
14.28,8.25,95.9,79.3,46.74,11.94
14.2,7.39,95.8,74.6,34.09,10.11
15.59,8.16,91.6,71.7,35.3,11.98
14.16,8.15,91.9,76.1,48.37,6385
15.54,9.54,77.7,54.93,26.97,11.61
15.13,6.632,89.7,65.67,28.37,12.58
16.26,6.821,92.8,72.9,31.57,13.01
15.86,8.06,95.1,78.3,43.4,11.38
20.75,13.71,79.3,57.27,39.79,10.63
20.83,14.74,86.3,64.65,37.41,10.27
