MaxTemp,MinTemp,Humidity,Radiation,WindSpeed,Rainfall,ET_PM
19.96,14.08,77.2,57.42,43.76,18.53,15.814151244488272
20.29,15.52,83.9,53.56,36.03,20.34,14.823117641946002
17.65,13.96,91.6,62.06,34.7,14.86,17.18970913672822
20.36,14.46,63.96,40.38,22.28,26.83,11.274031385699734
21.41,15.26,76.5,45.46,21.27,26.49,12.700264596614213
25.13,18.92,66.08,42.33,27.07,23.47,11.782671475030611
27.12,18.37,76.7,45.43,17.33,26.38,12.723997969034013
28.32,19.57,76.6,40.62,13.8,26.94,11.40263057002809
27.59,18.59,73.7,35.5,9.47,23.61,9.99314576059973
22.01,15.34,61.29,36.0,15.94,27.48,10.092032010508147
23.54,14.86,73.8,44.96,20.94,27.0,12.563304162155372
26.0,16.12,89.1,48.41,9.47,27.97,13.626987801029637
25.34,17.94,88.2,45.89,23.47,24.69,12.802226985979788
16.71,12.9,65.54,47.22,28.89,12.68,13.12816341605338
19.83,14.09,57.15,35.7,14.07,27.22,10.019904471102869
19.82,13.61,82.7,47.64,27.61,20.7,13.2554258493664
19.76,14.93,83.0,55.98,24.82,16.57,15.603619311507618
15.85,12.68,95.2,73.1,48.58,4614.0,20.070738205224632
19.89,14.04,97.0,78.4,53.36,22.81,21.461362452110773
24.28,17.85,97.2,61.98,36.21,24.5,17.151007109946402
26.52,20.25,77.4,46.17,21.54,27.89,12.896523080408747
20.83,15.37,95.3,75.9,40.22,20.35,20.9496979482913
19.12,13.96,96.8,77.5,45.1,9.3,21.32546040991958
22.01,16.05,95.2,63.82,28.67,25.16,17.745015302948502
19.04,15.09,95.4,76.8,49.16,14.07,21.07895603033531
18.72,14.53,96.7,79.8,54.84,11.0,21.824353487531567
22.68,16.96,98.1,64.56,30.61,23.88,17.928543916068673
24.67,17.72,89.9,55.8,24.4,27.62,15.557534237333638
24.41,17.42,90.8,59.09,24.94,28.13,16.469098473120475
24.47,18.29,94.8,59.2,37.34,28.18,16.370102621749936
26.19,18.31,95.8,69.96,42.86,27.63,19.27801904302231
26.67,20.09,96.8,51.6,15.0,26.78,14.473269309207929
27.32,20.22,67.2,39.73,22.8,23.24,11.089117624346278
27.59,20.22,76.4,43.03,14.8,28.2,12.071396887044797
27.59,20.52,84.3,49.39,26.8,28.16,13.749575728045098
27.92,20.87,93.5,59.71,28.4,27.46,16.60520731725138
26.19,19.28,96.9,69.09,32.59,26.04,19.16245419413662
24.94,18.11,94.2,74.1,31.01,13.96,20.572723501665727
26.72,19.08,95.6,66.18,34.67,27.41,18.33118483038528
21.62,17.73,92.0,78.4,57.83,15.51,21.401658206309264
19.05,16.42,94.9,87.5,65.32,5461.0,23.774207995335214
26.14,17.98,97.3,82.8,41.14,11.15,22.84087361288889
27.86,21.06,95.5,63.87,28.86,26.7,17.756806568632996
25.88,20.21,92.2,66.25,39.41,14.87,18.295713310246445
29.79,21.79,96.5,57.98,20.2,29.26,16.20865965849352
31.23,24.32,79.0,43.34,21.79,29.01,12.104249822880808
30.63,24.54,70.1,43.16,22.86,28.77,12.046062180240941
32.56,24.89,74.8,44.55,24.99,28.78,12.41705439130737
29.79,23.86,68.12,43.51,23.93,27.66,12.135505448006231
28.99,22.87,71.9,46.98,22.26,28.68,13.117003750333026
28.39,22.08,78.3,53.04,24.34,27.82,14.789034061277828
29.72,22.52,90.1,65.56,30.39,28.0,18.20914987084399
30.52,22.26,95.9,68.31,20.6,25.74,19.091587889835527
25.61,20.38,89.4,58.56,36.9,28.1,16.197887227060285
26.06,20.07,92.8,59.44,29.68,29.55,16.516666920155117
27.46,20.04,89.8,46.48,20.6,29.36,12.990610090233627
30.12,20.85,61.81,37.26,17.2,26.45,10.437116907416703
24.74,18.99,47.47,26.28,12.47,30.54,7.383942248118653
30.12,22.19,41.03,25.03,11.86,30.03,7.035788626859893
25.68,19.94,94.6,53.93,28.4,29.2,14.997769716340546
26.46,19.38,90.6,57.17,31.74,29.2,15.865194043675393
26.73,20.02,94.2,59.11,30.6,28.66,16.41531883899569
28.72,21.88,73.5,49.62,26.8,29.16,13.814016597388028
29.46,23.09,70.2,41.41,25.66,29.79,11.5370546841802
31.58,24.45,61.94,31.32,13.53,29.87,8.794000281429678
29.86,24.08,84.5,37.37,21.93,29.74,10.43587262677909
27.72,21.47,89.4,62.27,40.47,29.41,17.185267900780744
27.86,21.02,88.1,51.52,25.0,29.07,14.358865172638014
29.79,22.64,96.2,59.59,32.13,25.66,16.532484746591507
31.56,23.95,96.2,60.06,22.79,27.64,16.762360665962653
30.44,24.18,87.7,60.13,35.66,27.76,16.645420284882608
28.66,22.64,90.0,70.2,42.53,28.48,19.34854810921383
29.19,22.47,91.0,68.37,38.94,23.77,18.886901413631275
31.9,24.94,89.5,55.69,27.05,24.63,15.500818842641172
36.15,26.02,87.6,61.65,24.72,26.55,17.18533413704427
40.33,29.5,85.6,34.49,8.86,27.45,9.712667248320074
34.16,26.38,80.9,44.12,22.19,28.58,12.318975493536813
35.5,26.3,88.4,54.36,20.39,28.59,15.195155011842424
38.2,27.61,81.4,48.19,13.06,28.01,13.534112873428363
39.33,28.17,79.8,47.39,9.86,26.36,13.336834138814867
37.36,29.07,85.6,32.47,6.463,29.29,9.157901191738963
32.1,24.98,73.9,38.9,23.79,29.55,10.850693125701797
30.45,23.43,90.2,56.92,23.2,27.61,15.882045068134584
34.7,25.28,92.1,60.24,28.45,28.51,16.75221947544017
40.87,29.02,93.1,43.43,9.06,28.41,12.228443749307624
30.25,25.32,87.1,60.2,18.48,25.6,16.848096093178132
30.04,24.0,91.0,65.34,37.65,27.39,18.06466471714518
34.9,26.5,91.4,45.97,11.06,26.58,12.926964399603117
28.59,23.22,74.8,43.09,28.46,21.35,11.98356589917273
28.52,21.68,95.0,65.91,32.06,27.49,18.286722203337142
29.72,22.66,91.2,54.17,19.06,28.63,15.15475848618452
33.36,24.33,77.7,40.19,18.46,28.46,11.24848763233948
32.9,25.84,73.2,42.52,20.66,28.2,11.8840662886221
29.52,23.93,68.66,45.23,27.2,27.86,12.58900845580804
29.32,22.88,76.4,60.04,31.59,26.57,16.66389307532033
30.36,23.26,76.0,56.42,37.07,27.85,15.605104627681843
32.43,24.8,88.6,61.08,33.32,27.58,16.93348234891732
33.16,25.3,87.1,56.19,27.53,26.88,15.635336554119931
33.03,25.57,75.8,42.47,19.99,26.87,11.875068689768057
35.15,26.45,76.5,48.5,24.12,25.93,13.525444818316899
36.43,27.64,84.7,41.39,7.8,19.32,11.663623679307863
32.43,25.02,61.51,35.53,15.86,27.72,9.961229866933035
34.96,27.47,61.92,34.49,18.79,27.77,9.651861404488429
34.3,26.55,63.72,35.94,12.39,28.27,10.09849103053891
35.69,25.82,64.01,38.43,13.59,27.38,10.78983240671429
36.48,27.58,77.6,34.63,13.33,27.43,9.724333502189118
30.12,24.03,94.7,63.41,41.19,26.36,17.491695097793805
29.98,23.83,84.2,57.67,27.73,26.22,16.04514273839384
