MaxTemp,MinTemp,Humidity,Radiation,WindSpeed,Rainfall,ET_PM,Sugarcane_Growth
33.36,26.49,50.28,27.85,7.93,25.74,7.847940414,No
31.63,24.74,92.8,53.93,20,24.73,15.07852316,No
34.83,26.32,77.5,35.86,12.19,25.54,10.07700689,No
33.16,26.3,50.97,31.43,18.53,25.34,8.797336671,No
35.1,27.14,55.38,32.73,18.39,24.69,9.16193512,No
34.63,26.71,72.8,35.39,15.86,24.94,9.921778964,No
33.63,25.61,92,49.54,22.52,24.7,13.82887778,No
39.67,28.99,95.7,34.01,5928,25.51,1.999014057,Yes
40.33,30.31,41.63,21.28,8.99,21.51,5.993161428,Yes
38.73,30.23,47.96,23.86,10.53,23.79,6.712954651,Yes
35.95,26.45,84.6,32.5,11.33,23.52,9.137753318,Yes
36.22,26.83,87.3,42.7,9.79,24.08,12.01733446,Yes
34.3,25.58,73.1,37.7,8.2,24.84,10.62121435,Yes
29.59,23.62,83.7,50.69,21.07,23.64,14.16320351,Yes
28.52,23.11,90.1,68.16,44.59,22.27,18.76191905,Yes
30.71,23.48,91.8,69.74,38.05,20.48,19.27618761,Yes
35.36,25.92,90.2,64.53,17.72,19.57,18.0686564,Yes
29.99,23.76,93.1,72.9,46.59,19.11,20.04121506,Yes
32.1,24.75,91.3,71.7,41.78,21.57,19.77133387,Yes
32.56,24.63,93.3,66.49,32.25,15.89,18.44554746,Yes
30.23,23.61,93.9,73.1,45.33,20.88,20.11209614,Yes
28.91,21.58,94,76.5,45.79,16.39,21.04138401,Yes
26.86,21.71,86.2,67.26,39.93,21.35,18.56884331,Yes
29.04,21.51,84.6,51.61,19.19,22.77,14.43752718,Yes
34.23,24.22,63.99,34.2,10.53,23.14,9.620971991,Yes
28.26,22.15,83.1,59.37,27.36,21.39,16.52197249,Yes
26.99,21.42,89.3,59.09,26.06,22.49,16.45743849,Yes
27.52,20.56,88.9,60.54,22.73,22.79,16.89714682,Yes
28.72,20.96,97,72.1,28.53,19.17,20.04901026,Yes
29.9,21.92,93.8,65.98,32.65,20.88,18.29934669,Yes
31.36,22.72,92.6,63.58,30.92,20.74,17.65318701,Yes
32.3,23.62,82.5,43.66,19.73,21.28,12.20954663,Yes
34.75,24.43,56.92,27.2,9.66,21.72,7.656263545,Yes
34.96,24.65,58.8,31.9,10.33,21.68,8.975246746,Yes
34.23,24.96,51.59,24.89,9.66,14.79,7.00619049,Yes
30.31,22.86,59.4,34.72,16.39,21.27,9.730810065,Yes
28.72,23.27,67.45,41.92,22.93,19.68,11.69947512,Yes
24.54,19.53,46.59,33.66,17.6,20.99,9.426504724,Yes
25.19,18.05,59.14,40.73,25,21.14,11.35241318,Yes
25.07,18.56,86.4,55.88,22.27,19.33,15.60113509,Yes
26.79,19.38,89.4,66.35,22.26,16.98,18.52426217,Yes
29.1,20.9,94.1,65.3,29.66,19.45,18.14518024,Yes
26.6,20.17,89.6,74.1,43.27,16.67,20.41385488,Yes
27.39,20.29,86.4,64.5,36.33,14.11,17.84745754,Yes
28.44,19.94,92.4,67.87,29.06,15.56,18.86655992,Yes
27.32,19.72,96.1,68.8,29.99,15.12,19.11362572,Yes
22.88,18.55,90.9,49.37,27.2,17.38,13.74023962,Yes
21.3,16.04,83.7,62.35,34.62,8.49,17.27118707,Yes
23.41,17.63,85.7,45.9,24.74,14.17,12.79468607,Yes
28.79,20.8,73.8,42.64,18.26,19.09,11.93563543,Yes
29.51,19.99,65.1,38.54,13.93,19.36,10.81808502,Yes
27.46,19.72,88.2,50.43,25.8,18.64,14.04789847,Yes
27.99,19.25,94.7,60.97,21.2,17.06,17.03365455,Yes
25.39,18.19,96.2,72.1,37.01,17.81,19.94131197,Yes
24.68,17.8,92.4,74.8,44.01,15.13,20.59689423,Yes
26.59,18.22,93.8,74.7,40.93,17.06,20.60934366,Yes
28.59,18.65,91.6,60,14.66,17.13,16.83314144,Yes
28.12,19.86,84.2,44.89,20.33,17.24,12.54853924,Yes
27.4,20.66,58.32,37.92,17.87,17.71,10.61744712,Yes
19.12,14.42,92.6,71.8,52.81,5064,19.66163137,Yes
19.03,12.44,90.7,60.95,30.16,13.11,16.93103176,Yes
20.3,13.12,89,54.31,24.15,15.28,15.14448804,Yes
20.23,14.28,78.3,53.18,31.56,13.2,14.75985139,Yes
23.68,15.9,91.8,65.93,31.41,16.96,18.29986606,Yes
22.74,15.31,91.9,68.61,34.07,16.15,19.01157551,Yes
22.88,15.17,92.9,69.17,29.27,16.21,19.22527461,Yes
25.21,16.25,91.9,60.41,27.47,15.43,16.809826,Yes
24.41,16.01,90.2,63.17,23.2,14.78,17.62580086,Yes
17.71,14.29,94,81.2,53.44,6085,22.22682812,Yes
19.52,15.92,95.2,80.8,68.72,5666,21.90743146,Yes
17.78,14.78,94.6,87,72.7,2033,23.53027317,Yes
17.51,14.62,92.1,83,66.72,7.73,22.53202285,Yes
19.04,14.37,94.5,78.6,48.83,12.33,21.57749578,Yes
21.35,14.54,94.9,77.1,42.69,13.29,21.24774808,Yes
21.5,15.41,95,78.2,47.49,14.55,21.48579409,Yes
23.68,15.72,95.3,73.9,32.34,14.8,20.49980837,Yes
23.94,15.64,95.8,71.1,33.28,13.31,19.7113088,Yes
21.5,14.84,95.4,74,37.62,13.49,20.45889644,Yes
18.3,13.63,88.5,68.65,48.06,9.38,18.8553459,Yes
18.36,11.58,94,74,41.23,14.81,20.41224278,Yes
20.36,12.62,95.8,71.5,31.88,14.62,19.83981593,Yes
19.31,15.01,83.6,52.31,25.62,14.8,14.57323089,Yes
16.78,10.55,90.3,61.86,31.36,13.04,17.17068932,Yes
17.51,11.72,91.4,66.22,32.96,10.5,18.36220963,Yes
20.18,14.74,83.6,54.18,20.75,7.24,15.14119807,Yes
15.58,11.35,61.16,41.74,28.76,13.95,11.60566534,Yes
16.51,10.24,76.2,50.52,25.96,14.14,14.07155644,Yes
15.38,8.52,94.6,73.2,44.5,10.74,20.14989507,Yes
14.72,10.09,94.2,70.6,51.33,10.75,19.35087281,Yes
15.73,13.12,89.2,77.7,71.8,4206,21.02693906,Yes
18.9,12.82,96.4,83.7,55.91,10.04,22.87562109,Yes
19.78,14.16,96.8,67.22,37.5,4602,18.58579371,Yes
16.25,11.12,89.4,62.28,30.43,13.03,17.29751126,Yes
11.41,9.43,91,77.7,60.76,2.24,21.17163222,Yes
18.05,10.45,93.9,59.14,17.88,12.25,16.55752399,Yes
15.71,11.9,75,47.67,26.89,12.83,13.26992476,Yes
16.18,7.89,87.5,60.81,20.88,12.08,16.99245091,Yes
17.38,8.36,89.1,63.55,25.15,12.66,17.70969778,Yes
18.52,12.07,88,56.01,30.83,9.83,15.55221213,Yes
17.78,10.35,88.6,62.32,35.63,12.24,17.25159401,Yes
17.51,9.9,92.9,73.1,39.57,11.19,20.18517234,Yes
19.58,14.51,92.1,61.16,29.91,5835,16.99205277,Yes
14.2,10.45,80.2,61.22,29.44,6.748,17.01396341,Yes
22.65,18.63,72.2,50.89,29.09,9.72,14.14676351,Yes
24.41,17.51,79,51.57,27.6,11.66,14.34918876,Yes
24.17,14.65,87.5,66.44,27.55,11.97,18.48687617,Yes
20.85,13.29,87.8,68.4,41.63,9.44,18.8630025,Yes
17.78,12.68,85.5,67.19,46.31,7.18,18.47476065,Yes
17.98,10.64,89.5,70.6,34.7,10.82,19.55516332,Yes
20.83,12.4,93.7,72.1,30.88,10.6,20.01907709,Yes
19.58,12.62,94.9,62.11,31.16,9.98,17.2422009,Yes
16.85,10.21,91.8,59.91,32.63,10.26,16.61598241,Yes
17.85,9.79,93.9,74,34.63,9.35,20.49770841,Yes
14.94,9.13,92.6,73.2,41.78,4102,20.18456092,Yes
17.85,12.3,94.3,76.3,48.21,6.236,20.95425486,Yes
21.52,14.81,95.6,60.43,26.96,5.701,16.82074121,Yes
18.18,14.21,94.7,75.2,45.84,5182,20.68299928,Yes
16.65,9.53,93.9,75.4,36.04,9.98,20.86682654,Yes
18.65,9.18,94.1,72.9,29.49,10.62,20.25907901,Yes
17.78,9.16,92.1,65.15,26.62,9.28,18.13851359,Yes
20.16,9.94,88.4,60.62,24.16,10.89,16.90390628,Yes
20.65,10.59,82.8,55.57,13.08,10.8,15.60617138,Yes
19.45,10.12,91.9,60.2,18.82,11.41,16.84416795,Yes
17.71,11.09,89,58.91,38.3,8.24,16.28008894,Yes
13.53,9.01,92.4,69.68,40.05,8.89,19.23495797,Yes
14.6,6683,96.7,78.4,41.65,10.53,358.7672049,Yes
16.71,6.833,94.7,71.5,26.36,10.69,19.90966343,Yes
13.75,7.29,95.9,80.7,49.42,8.89,22.14566984,Yes
11.63,9.29,95,83.2,71.2,3.21,22.52335465,Yes
12.83,7.64,96.5,84.9,56.64,5468,23.19293743,Yes
14.43,10.05,95.1,83.1,57.68,5.764,22.6865101,Yes
14.75,10.45,93.9,74.6,50.02,7.11,20.4640716,Yes
13.83,11.3,94.7,82.7,62.29,4.358,22.51242476,Yes
13.16,10.45,66.72,55.07,36.45,10.72,15.23714526,Yes
16.43,11.74,67.15,50.18,34.84,8.23,13.89845485,Yes
16.8,13.86,51.03,41.47,29.84,8.8,11.52299889,Yes
15.94,12.97,75.6,46.94,28.7,10.51,13.05169096,Yes
